Name,Author,Avg Rating,Rating Count,Score,Vote Count
Misty of Chincoteague (Misty; #1),Marguerite Henry,4.07,46347,56.0,0
Night Must Fall: a Play in Three Acts,Emlyn Williams,3.68,112,55.0,2
Marie Antoinette: The Journey,Antonia Fraser,3.93,37496,55.0,0
Hideous Kinky,Esther Freud,3.51,3854,55.0,0
Love and War (North and South; #2),John Jakes,4.14,18561,55.0,0
The Treasure of the Sierra Madre,B. Traven,4.1,2820,54.0,0
Jasper Jones,Craig Silvey,0.0,0,54.0,0
That Was Then; This Is Now,S.E. Hinton,0.0,0,54.0,0
Martin the Warrior (Redwall; #6),Brian Jacques,4.16,44030,53.0,0
Escape to Witch Mountain,Alexander Key,3.9,3592,53.0,0
Sometimes a Great Notion,Ken Kesey,4.26,22954,52.0,0
The Englishman Who Went Up a Hill and Came Down a Mountain,Christopher Monger,3.96,225,52.0,0
The Sword in the Stone (The Once and Future King; #1),T.H. White,3.89,27243,51.0,0
Up the Down Staircase,Bel Kaufman,3.96,10207,51.0,0
The Last Unicorn (The Last Unicorn; #1),Peter S. Beagle,0.0,0,50.0,0
West Side Story,Irving Shulman,4.11,19404,50.0,0
Outside Over There,Maurice Sendak,3.87,3924,49.0,0
The Rachel Papers,Martin Amis,3.57,10914,49.0,0
A Room with a View,E.M. Forster,3.9,190135,48.0,0
Blow-Up and Other Stories,Julio Cortázar,4.21,7524,47.0,0
Marathon Man,William Goldman,4.11,21231,47.0,2
The Basketball Diaries,Jim Carroll,3.99,31135,47.0,0
The Witches of Eastwick,John Updike,3.22,17785,46.0,0
The Little Girl Who Lives Down the Lane,Laird Koenig,3.87,2587,45.0,0
Somewhere In Time,Richard Matheson,3.85,8255,44.0,0
Straw Dogs,Gordon M. Williams,3.48,589,42.0,0
Gwendy's Button Box (The Button Box; #1),Stephen        King,0.0,0,42.0,0
The Burning Bed: The True Story of an Abused Wife,Faith McNulty,4.26,1359,32.0,2
The Taking of Pelham One Two Three,John Godey,3.75,2341,30.0,0
The Man with the Golden Arm,Nelson Algren,3.87,3114,29.0,2
Such Good Friends,Lois Gould,3.16,75,24.0,0
Bright Lights; Big City,Jay McInerney,0.0,0,22.0,0
At Play in the Fields of the Lord,Peter Matthiessen,4.03,3179,19.0,0
Deep Cover,Michael     Levine,0.0,0,18.0,0
Any Human Heart,William  Boyd,4.28,24301,17.0,0
The Four Horsemen of the Apocalypse,Vicente Blasco Ibáñez,3.95,1833,12.0,0
